,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,higher_x,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
1,GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,mother,2,4,0,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
2,GP,F,15,R,GT3,T,1,1,other,other,course,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,3,1,1,no,no,no,yes,yes,yes,5,5,5,1,1,1,2,8,9,9
3,GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5,mother,1,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,13,11,11
4,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,1,0,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8,14,13,13,mother,1,1,0,yes,yes,no,yes,yes,no,4,3,1,1,1,2,8,14,13,12
5,GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,10
6,GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,other,2,3,2,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,other,2,3,0,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13
7,GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,11,12,12
8,GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,father,2,3,2,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,12,0,0,father,2,3,0,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,10,11,12
9,GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,2,0,yes,yes,yes,no,yes,no,4,1,3,1,3,4,2,8,9,8,mother,2,2,0,yes,yes,no,no,yes,no,4,1,3,1,3,4,0,11,10,11
10,GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,12,16,16,16,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,6,15,15,15
11,GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,11,11,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,10,10
12,GP,F,15,U,GT3,A,3,3,services,services,home,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,1,2,0,no,no,no,no,yes,yes,1,3,2,2,3,1,24,9,8,9
13,GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,4,3,2,1,1,1,0,15,14,15
14,GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13
15,GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12
16,GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,father,1,2,0,no,yes,yes,no,yes,no,4,4,2,1,2,5,0,8,11,11,father,1,2,0,no,yes,no,no,yes,no,4,4,2,1,2,5,0,12,12,12
17,GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,1,5,2,10,11,11,mother,1,2,0,no,yes,no,no,yes,no,4,3,2,1,1,5,6,13,12,13
18,GP,F,15,U,GT3,T,1,2,at_home,services,course,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,father,1,2,0,no,no,no,no,yes,yes,2,3,4,2,4,1,6,11,11,11
19,GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,2,16,15,15,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,0,14,14,14
