sex,age,famsize,Pstatus,guardian,activities,Dalc,Walc
Female,18,Family size > 3,A,mother,No extracurriculars,1,1
Female,17,Family size > 3,T,father,No extracurriculars,1,1
Female,15,Family size <= 3,T,mother,No extracurriculars,2,3
Female,15,Family size > 3,T,mother,Extracurriculars,1,1
Female,16,Family size > 3,T,father,No extracurriculars,1,2
Male,16,Family size <= 3,T,mother,Extracurriculars,1,2
Male,16,Family size <= 3,T,mother,No extracurriculars,1,1
Female,17,Family size > 3,A,mother,No extracurriculars,1,1
Male,15,Family size <= 3,A,mother,No extracurriculars,1,1
Male,15,Family size > 3,T,mother,Extracurriculars,1,1
Female,15,Family size > 3,T,mother,No extracurriculars,1,2
Female,15,Family size > 3,T,father,Extracurriculars,1,1
Male,15,Family size <= 3,T,father,Extracurriculars,1,3
Male,15,Family size > 3,T,mother,No extracurriculars,1,2
Male,15,Family size > 3,A,other,No extracurriculars,1,1
Female,16,Family size > 3,T,mother,No extracurriculars,1,2
Female,16,Family size > 3,T,mother,Extracurriculars,1,2
Female,16,Family size > 3,T,mother,Extracurriculars,1,1
Male,17,Family size > 3,T,mother,Extracurriculars,2,4
Male,16,Family size <= 3,T,father,Extracurriculars,1,3
Male,15,Family size > 3,T,mother,No extracurriculars,1,1
Male,15,Family size > 3,T,father,No extracurriculars,1,1
Male,16,Family size <= 3,T,mother,Extracurriculars,1,3
Male,16,Family size <= 3,T,mother,Extracurriculars,2,4
Female,15,Family size > 3,T,mother,Extracurriculars,1,1
Female,16,Family size > 3,T,mother,No extracurriculars,1,3
Male,15,Family size > 3,T,mother,No extracurriculars,1,2
Male,15,Family size > 3,T,mother,No extracurriculars,2,4
Male,16,Family size <= 3,A,mother,Extracurriculars,1,1
Male,16,Family size > 3,T,mother,Extracurriculars,5,5
Male,15,Family size > 3,T,mother,No extracurriculars,3,4
Male,15,Family size > 3,T,mother,Extracurriculars,1,1
Male,15,Family size > 3,T,mother,Extracurriculars,1,1
Male,15,Family size <= 3,T,mother,Extracurriculars,1,1
Male,16,Family size > 3,T,mother,No extracurriculars,1,1
Female,15,Family size > 3,T,father,Extracurriculars,1,1
Male,15,Family size <= 3,T,mother,Extracurriculars,1,1
Male,16,Family size > 3,A,mother,Extracurriculars,1,1
Female,15,Family size > 3,T,mother,Extracurriculars,1,1
Female,15,Family size > 3,T,mother,Extracurriculars,1,1
Female,16,Family size <= 3,T,mother,Extracurriculars,1,2
Male,15,Family size <= 3,T,other,No extracurriculars,2,4
Male,15,Family size > 3,T,father,Extracurriculars,1,1
Male,15,Family size > 3,T,father,No extracurriculars,1,1
Female,16,Family size <= 3,T,father,Extracurriculars,2,2
Female,15,Family size <= 3,A,mother,Extracurriculars,1,1
Female,16,Family size <= 3,A,mother,No extracurriculars,1,4
